Palabras	Frecuencia
de	4680
la	3313
que	3206
el	2492
y	2339
en	2221
a	1930
se	1651
no	1380
los	1345
un	1315
una	1110
por	975
lo	919
con	901
las	858
del	835
habia	810
winston	752
era	739
le	710
su	686
pero	541
como	477
mas	465
si	450
es	449
para	444
al	415
sus	317
o	310
todo	285
partido	281
sin	273
solo	269
cuando	240
ya	230
estaba	225
dijo	220
te	205
obrien	205
vez	204
ser	200
muy	196
tenia	193
sobre	185
ni	177
podia	177
uno	175
dos	172
años	165
esta	161
habian	158
julia	151
unos	145
siempre	144
este	144
todos	143
nunca	141
hacia	140
mismo	139
gran	138
ella	138
eran	137
esto	133
antes	132
otra	132
desde	129
hasta	128
casi	127
sido	126
algo	125
incluso	123
entre	121
guerra	121
ahora	119
parecia	118
me	118
tres	114
porque	112
cara	112
nada	111
momento	111
donde	111
luego	109
despues	108
sabia	104
aquel	103
tiempo	103
mundo	103
aunque	102
ojos	99
cada	98
pasado	96
sino	96
durante	95
otro	95
hombre	95
vida	93
fue	93
voz	92
hubiera	91
tambien	91
hay	91
toda	89
tu	89
hecho	89
ellos	88
poco	88
dia	88
haber	88
verdad	87
ha	87
bien	87
contra	87
mucho	86
fuera	84
tan	84
telepantalla	82
veces	81
yo	80
mano	79
asi	79
son	79
e	78
eso	78
embargo	77
pensamiento	77
mientras	77
hermano	75
todas	75
entonces	75
volvio	74
alli	74
parte	74
alguna	73
aquella	72
pronto	72
poder	72
les	72
ese	72
cuerpo	71
dolor	71
habitacion	70
menos	69
hacer	68
mujer	67
posible	66
modo	65
cuatro	65
palabras	65
estado	63
realidad	63
puede	62
cinco	62
joven	60
ello	60
habria	60
sitio	60
estas	60
odio	60
visto	60
oceania	60
trabajo	60
cabeza	58
ver	58
hablar	58
penso	58
ministerio	57
misma	57
minutos	57
siquiera	56
decir	56
otros	56
papel	55
cuanto	55
algun	55
nadie	55
suelo	55
mejor	55
usted	55
he	54
rostro	54
aqui	53
treinta	53
proles	53
mi	53
palabra	53
tener	52
empezo	52
manos	52
quiza	52
tarde	52
mesa	51
imposible	51
esa	51
quizas	51
horas	51
pensar	51
estaban	51
seguro	51
bajo	50
gente	49
cosas	49
cual	49
dentro	49
han	48
todavia	48
saber	48
cualquier	48
tenian	48
libro	47
sensacion	47
miembros	47
iba	47
ningun	46
calle	46
estar	46
tanto	46
manera	46
cuenta	45
hora	45
podian	45
aire	44
seria	44
daba	44
lado	44
personas	44
sentido	44
hizo	44
policia	44
madre	44
nos	44
podria	43
interior	43
muerte	42
has	42
parsons	42
aquello	42
seguia	41
pudiera	41
dedos	41
persona	41
nosotros	41
idea	40
muchacha	40
especie	40
eurasia	40
hombres	39
demasiado	39
medio	38
demas	38
paso	38
mente	37
historia	37
niños	37
neolengua	37
cama	36
segundos	36
goldstein	36
puerta	36
quien	35
asia	35
oriental	35
libertad	35
ademas	35
recordaba	35
grandes	35
nuevo	35
decia	35
acto	35
cierto	34
amor	34
luz	34
aun	34
frente	34
fuerza	34
pues	34
unas	34
negro	34
ocurrido	34
hace	34
razon	33
miedo	33
estos	33
corazon	33
syme	33
fin	33
dias	33
otras	33
miro	32
cuantos	32
siglo	32
final	32
memoria	32
necesario	32
claro	32
completo	32
primera	32
victoria	32
casa	31
recordar	31
clase	31
abajo	31
apenas	31
alguien	31
existe	31
enemigo	31
dio	31
cambio	31
capitulo	31
revolucion	31
movimiento	31
boca	31
cabello	30
trataba	30
mujeres	30
lugar	30
junto	30
mayor	30
miembro	30
detras	30
tiene	30
vuelto	30
libros	29
semana	29
doblepensar	29
cerca	29
ruido	29
sociedad	29
ejemplo	29
cristal	29
brazos	29
dejado	29
evitar	29
ellas	29
esfuerzo	28
algunas	28
sintio	28
movimientos	28
tienes	28
dicho	28
tal	28
unico	28
muchas	28
esas	28
caso	28
noche	28
levanto	28
diario	28
sol	27
debia	27
diez	27
oido	27
pueden	27
tengo	27
tenido	27
epoca	27
londres	27
bastante	27
vista	27
vio	27
punto	27
cosa	27
esos	27
siguiente	26
dicen	26
llevaba	26
inmediatamente	26
ingsoc	26
parecian	26
varios	26
exactamente	26
estoy	26
viejo	26
individuo	26
grupo	26
brazo	26
volver	26
casas	26
futuro	26
ante	25
departamento	25
sabes	25
encima	25
enorme	25
mono	25
recuerdo	25
nombre	25
blanco	25
celda	25
algunos	25
agua	25
creia	25
propia	25
señor	24
ninguna	24
aquellos	24
muchos	24
instante	24
charrington	24
pared	24
gafas	24
corriente	24
seis	24
aspecto	24
principio	24
os	24
pasar	24
seguida	24
pesar	23
varias	23
pequeño	23
mañana	23
masa	23
puso	23
esperanza	23
estan	23
gesto	23
cafe	23
tienda	23
resultaba	23
ti	23
creo	22
probablemente	22
principios	22
color	22
primero	22
detuvo	22
año	22
entro	22
nueva	22
sentia	22
tierra	22
veia	22
nuestra	22
tono	22
humana	22
olor	22
sea	22
fuerte	22
pregunto	22
oficial	22
niño	22
eres	22
seguramente	21
importancia	21
hablaba	21
general	21
excepto	21
lleno	21
llegado	21
abrio	21
ventana	21
mirada	21
veinte	21
ultimo	21
acerco	21
terrible	21
pie	21
dificil	21
cincuenta	21
hambre	21
partes	21
primer	21
sera	21
ginebra	21
pasos	21
ratas	21
grito	21
pensamientos	21
siguio	21
estuviera	20
expresion	20
san	20
proceso	20
saco	20
puedes	20
chocolate	20
propio	20
queria	20
hoy	20
existia	20
humano	20
natural	20
hermandad	20
campanas	20
suave	20
cambiado	20
pequeña	20
oyo	20
camarada	20
hubieran	20
nuestro	20
siendo	20
times	20
enormes	20
sentado	20
entrar	20
desaparecido	20
completamente	20
atencion	20
dado	20
dejar	19
fondo	19
aparte	19
cierta	19
rodillas	19
tras	19
sola	19
necesidad	19
impresion	19
ocurrio	19
fueron	19
edad	19
hallaba	19
momentos	19
blanca	19
mal	19
perfectamente	19
querido	19
media	19
guardias	19
miraba	19
anterior	19
importaba	19
tuvo	19
golpe	19
puesto	19
centenares	18
locura	18
importante	18
cerebro	18
musica	18
lucha	18
contrario	18
nariz	18
centro	18
bolsillo	18
pudieran	18
pudo	18
numero	18
espias	18
muerto	18
importa	18
nombres	18
quedaba	18
millones	18
inutil	18
dar	18
seguian	18
deseo	18
perdido	18
pedazo	18
smith	18
alla	18
hallarse	18
prisioneros	18
escribir	18
siete	18
pasaba	18
humanos	18
comprender	18
dientes	18
llamaban	17
loco	17
mucha	17
peligro	17
va	17
podemos	17
peor	17
polvo	17
cantina	17
continua	17
costumbre	17
pies	17
paz	17
habra	17
libre	17
facil	17
salio	17
curioso	17
objeto	17
nivel	17
actitud	17
horrible	17
nuestros	17
olvidado	17
sueño	17
pan	17
direccion	17
forma	17
antiguo	17
seguir	17
reloj	17
superestados	17
bombas	16
hacerlo	16
llamaba	16
calles	16
ponerse	16
huesos	16
añadio	16
mayoria	16
habitual	16
pisapapeles	16
pocos	16
iban	16
hubo	16
campo	16
frecuencia	16
ninguno	16
puedo	16
arriba	16
hijos	16
asunto	16
ir	16
necesitaba	16
buen	16
mediante	16
juvenil	16
katharine	16
mil	16
metros	16
botas	16
cancion	16
prueba	16
minuto	16
efecto	16
cuales	16
somos	16
cogio	16
sesenta	16
cuarto	16
conocia	16
semanas	16
tenemos	16
torno	16
conocimiento	16
sencillamente	16
dejo	16
tiro	16
alguno	16
espalda	16
escrito	16
creer	16
estamos	15
instinto	15
naturaleza	15
traves	15
vivir	15
debajo	15
multitud	15
hemos	15
relacion	15
unica	15
pequeños	15
fisico	15
martin	15
grupos	15
absolutamente	15
señora	15
piel	15
mental	15
voluntad	15
mirar	15
miraban	15
venia	15
comida	15
tiempos	15
tampoco	15
cerveza	15
orden	15
distancia	15
estuvo	15
llevar	15
objetos	15
vieja	14
acuerdo	14
segun	14
salir	14
absoluto	14
prosiguio	14
militar	14
bueno	14
haciendo	14
capaz	14
caido	14
seguridad	14
pantalla	14
cuantas	14
capitalistas	14
acababa	14
continuamente	14
mitad	14
derecho	14
hablescribe	14
evidente	14
sentir	14
tantos	14
cuarenta	14
trabajaba	14
menor	14
altos	14
meses	14
atras	14
pelo	14
documentos	14
quedo	14
existido	14
debes	14
intelectual	14
fines	14
cambiar	14
panico	14
ampleforth	14
edificio	14
criminales	14
pais	14
llamado	14
figura	14
hechos	14
patio	14
posibilidad	14
lejos	14
101	14
llegar	14
oscuridad	14
peligroso	14
caer	13
crimenes	13
desperto	13
precisamente	13
esencial	13
grande	13
preciso	13
escribio	13
posicion	13
larga	13
ventanas	13
nueve	13
telepantallas	13
hojas	13
segundo	13
cuya	13
hoja	13
afeitar	13
naturalmente	13
instantes	13
parecio	13
interes	13
tuviera	13
muertos	13
solamente	13
suponia	13
supuesto	13
empezado	13
diferencia	13
silla	13
pensando	13
encontraba	13
organizacion	13
hallaban	13
buena	13
suyo	13
seres	13
sentimientos	13
juntos	13
diferente	13
vacio	13
existencia	13
estructura	13
ambos	13
cesar	13
mejillas	13
espiritu	13
falsificacion	13
conversacion	13
mensaje	13
vision	13
fecha	13
cintura	13
sabe	13
controla	13
racion	13
zapatos	13
bomba	13
lengua	13
estilo	13
mentiras	13
pasillo	12
modos	12
hacerse	12
sexual	12
facultad	12
pura	12
niña	12
liga	12
confesar	12
agujero	12
enfrente	12
quieres	12
mismos	12
ley	12
fueran	12
finalidad	12
pluma	12
ahi	12
mantener	12
comer	12
voces	12
efectivamente	12
u	12
haya	12
antiguos	12
presos	12
tubo	12
cuyo	12
cantaba	12
repitio	12
murmuro	12
cabo	12
habido	12
favor	12
negros	12
pensado	12
dispuestos	12
jaula	12
hombro	12
piso	12
terminado	12
podrian	12
mira	12
seguido	12
idioma	12
gritar	12
mentira	12
azul	12
tortura	12
igual	12
conciencia	12
ropa	12
generacion	12
diccionario	12
llevaban	12
comprendia	12
ramas	11
izquierda	11
infancia	11
absoluta	11
novela	11
quiera	11
cuyas	11
llego	11
masas	11
consciente	11
rutherford	11
hombros	11
palanca	11
ocurria	11
probable	11
debian	11
principal	11
tarea	11
creyo	11
quedado	11
individuos	11
metro	11
hermanita	11
mando	11
darse	11
paredes	11
camino	11
duda	11
inteligente	11
cometido	11
dando	11
nuevos	11
muro	11
intento	11
puestos	11
xx	11
chico	11
registro	11
daban	11
recordo	11
significado	11
abundancia	11
ocurrir	11
cielo	11
cuestion	11
enemigos	11
aquellas	11
jefe	11
coger	11
riqueza	11
señal	11
cuello	11
suya	11
quiero	11
cigarrillo	11
hablando	11
llena	11
espera	11
oir	11
facciones	11
mirando	11
extremo	11
valor	11
vientre	11
falta	11
secreto	11
politica	11
hacian	11
suficiente	11
superficie	11
labios	11
camaradas	11
propaganda	11
volvia	11
cayo	10
trabajando	10
discurso	10
actos	10
rato	10
luchar	10
dije	10
debil	10
delante	10
once	10
arrugas	10
diferentes	10
dificultad	10
vivo	10
digo	10
continuo	10
tomo	10
realmente	10
vuelta	10
contenido	10
voy	10
oia	10
distinta	10
oscuro	10
rapidamente	10
trabajos	10
derecha	10
atmosfera	10
belleza	10
mes	10
parece	10
clemente	10
craneo	10
alto	10
medianos	10
poblacion	10
entusiasmo	10
cigarrillos	10
tienen	10
varices	10
basta	10
controlar	10
fronteras	10
cocina	10
proletarios	10
ensueño	10
abierto	10
ciento	10
pocas	10
medios	10
especial	10
fuese	10
mercado	10
crimental	10
leer	10
salia	10
pregunta	10
carteles	10
practica	10
lecho	10
gritos	10
cartera	10
miles	10
espaldas	10
largo	10
podido	10
clases	10
frio	10
pecho	10
haria	10
forzados	10
ejemplar	10
constante	10
estaria	10
publico	10
culpable	10
cuidadosamente	10
pensaba	10
morir	10
pueda	10
chimenea	10
ultima	10
borde	10
vivian	10
encontrar	10
darle	10
anteriores	10
periodicos	10
hacerle	10
fotografia	10
periodo	10
llegaba	9
