Palabras	Frecuencia
corpus	4
lenguaje	2
corpora	2
textos	2
practica	1
lidia	1
linguistica	1
linguisticos	1
maquina	1
oxford	1
palabra	1
particular	1
plural	1
1992	1
principal	1
legibles	1
proposito	1
sintactica	1
sonido	1
transcripcion	1
usar	1
uso	1
varia	1
principios	1
languages	1
blackwell	1
determinar	1
coleccion	1
compilados	1
computadora	1
construccion	1
crystal	1
cuerpo	1
datos	1
david	1
dictionary	1
language	1
ejemplo	1
encyclopedic	1
escritos	1
estudio	1
grabada	1
gran	1
habla	1
hipotesis	1
verificar	1
